Fold,Accuracy,Precision,Recall,F1,LogLoss,Best_C,Best_Gamma
1,0.98783712321523,0.9878526872679976,0.98783712321523,0.9878294953426566,0.03644644268074297,50,scale
2,0.9857218402961396,0.9857388213344827,0.9857218402961396,0.9857285695983246,0.04135642289596315,100,scale
3,0.9846641988365944,0.9846804222101092,0.9846641988365944,0.9846669583631148,0.052997121545446065,100,scale
4,0.9830687830687831,0.9830860155605219,0.9830687830687831,0.9830687182693669,0.05468797355732237,50,auto
5,0.9825396825396825,0.9825409752809026,0.9825396825396825,0.9825391430867272,0.06004374486595218,100,scale
AVERAGE,0.9847663255912857,0.9847797843308028,0.9847663255912857,0.9847665769320381,0.04910634110908534,-,-
